method,target_type,metric,mechanism,mask_rate,mean,std,median,minimum,maximum,evaluation_units,masked_entries
random_forest,continuous,rmse,mcar,0.2,0.895226916767024,0.9187787395858448,0.7992886444159214,0.10410447029854425,1.878225907937709,4,24
knn,continuous,rmse,mcar,0.2,0.8995503143682859,0.8873797598826109,0.889272764384983,0.11430957683676272,1.7053461518664148,4,24
sa_vae_structured,continuous,rmse,mcar,0.2,0.9199514393968578,0.9228001987601664,0.8288999914635882,0.12138444990295966,1.9006213247572952,4,24
gradient_boosting,continuous,rmse,mar,0.2,1.0951349828356143,1.2166340530332673,0.8671729660806533,0.07801790021065719,2.5681760989704934,4,16
sa_vae,continuous,rmse,mcar,0.2,1.1497946373314216,1.2428246846809528,0.9398359242376455,0.09253341005661055,2.6269732907937846,4,24
gradient_boosting,continuous,rmse,mnar,0.2,1.1530482460280613,1.1953604154178135,1.020548933934739,0.1269367146886295,2.4441584015541378,4,20
random_forest,continuous,rmse,mnar,0.2,1.1688532286203297,1.233931629466157,1.0107439000082201,0.12301425774300491,2.530910856721873,4,20
sa_vae,continuous,rmse,mar,0.2,1.1853137738049042,1.314555820930137,0.9404532210994968,0.09385148071509347,2.76649717230553,4,16
random_forest,continuous,rmse,mar,0.2,1.1957344642471226,1.3385120677603606,0.9420595747093515,0.07513297549444459,2.823685732075343,4,16
sa_vae_structured,continuous,rmse,mar,0.2,1.2264060597107296,1.4431649005985112,0.84971118362529,0.07536530743174726,3.1308365641605906,4,16
sa_vae,continuous,rmse,mnar,0.2,1.3422609562642327,1.3030510960777724,1.2182821282497593,0.21195386195326232,2.7205257066041497,4,20
plain_vae,continuous,rmse,mar,0.2,1.443454301318353,1.8956461073966824,0.7453147342656526,0.12029007013751952,4.162897666604587,4,16
plain_vae_structured,continuous,rmse,mar,0.2,1.455424424371186,1.953843384988835,0.6969597137018397,0.14658927999471105,4.281188990086354,4,16
knn,continuous,rmse,mnar,0.2,1.486715095590309,1.4746030315094256,1.3329264229004947,0.19992623878682672,3.08108129777342,4,20
sa_vae_structured,continuous,rmse,mnar,0.2,1.4994908346438411,1.4708462249818242,1.333928867847699,0.2318231449193048,3.0982824579606616,4,20
mean_mode,continuous,rmse,mnar,0.2,1.5021775095733632,1.4839645746599415,1.436014501974294,0.1586986681390365,2.9779823662058282,4,20
knn,continuous,rmse,mar,0.2,1.620193406760288,1.8494906022110598,1.2023536133629158,0.10711668850074318,3.9689497118145765,4,16
plain_vae,continuous,rmse,mnar,0.2,1.7276877528675971,1.7723845674817897,1.6035153612138062,0.18154488843535568,3.522175400607421,4,20
plain_vae_structured,continuous,rmse,mnar,0.2,1.8283403728409566,1.9412147560010522,1.6486513595303303,0.14848107106766292,3.8675777012355037,4,20
mean_mode,continuous,rmse,mcar,0.2,1.9234647588373257,1.90685374567787,1.8607781043748608,0.20870755307191954,3.763595273527662,4,24
mean_mode,continuous,rmse,mar,0.2,2.014029845025142,2.0593321072124224,1.8443390296401891,0.2362723604376555,4.131168960382534,4,16
